"","Protein","channel1","channel10","channel11","channel12","channel13","channel14","channel15","channel16","channel2","channel3","channel4","channel5","channel6","channel7","channel8","channel9"
"5646","Q5VU92",14.3104462680375,14.4739809558337,14.4965169512736,14.6517946650121,14.4668157405393,14.6132904290414,14.2998140070235,14.6842511384326,14.2912673219008,14.5317822097799,14.3698549901656,14.4448841570242,14.3776057749868,14.9175178827438,14.5934200603121,13.6678899084601
"5647","Q5VUA4",14.0249578903734,14.777354147771,14.799458742381,14.7457299615385,14.7371455985451,14.7257133484597,14.810703989485,14.7305233502585,13.9036132061206,13.9698710172052,14.0822574274779,13.9779204550667,14.0326470316586,14.1072152177988,14.0046629933628,14.7579442960009
"5648","Q5VUA4;Q5VUA4-2",13.1264899045129,13.9546971436891,13.9696584231737,14.0466041778383,14.1803617573542,14.0919665831502,13.8454432448141,13.9796723233657,12.9601035913085,12.9026940841499,13.1994619742444,12.7739241571622,13.1171303541233,13.1089467468891,13.2259405658666,14.1490287292791
"5649","Q5VUJ6-2;Q5VUJ6",13.5200038598735,14.332152024721,14.2035936941293,14.2308881532347,14.3964922666575,14.2673546328327,14.4581859234786,14.2719768296577,13.5250284463281,13.7152353912898,13.5104221854056,13.6280392315826,13.5108122651672,13.6164981294502,13.5994823448734,14.3106603097745
"5650","Q5VUM1",17.1400323043418,16.6841526613537,16.624231510584,16.7118223997478,16.4688449180023,16.5155690184413,16.6338680317037,16.5242273531776,17.1375062175736,17.303137853204,17.0182163849164,17.1587036556815,17.165128105219,16.8599320107695,17.0827946386288,16.8166377807146
"5651","Q5VV42-2;Q5VV42",14.074103845782,14.0266516944792,14.0595452085579,14.1719485852581,13.9699325107256,14.0475574125272,14.0028005116569,14.0871516135965,14.1566369952891,13.9129331442851,14.0457749929041,13.9804641304426,14.1884645623074,13.9231169763475,14.1669771514015,14.1304558978689
"5652","Q5VVM6-2;Q5VVM6",14.7659667578814,14.792394320154,14.7162956440803,14.6268418952057,14.318220508053,14.3486722059711,14.6214120151326,14.9412200208676,14.9131479237884,15.1024145563907,14.7474979085176,14.9739333101886,15.1593127537239,14.0358719338095,15.0828137421867,14.7021750740498
"5653","Q5VW32",14.5937211039641,14.9380141063436,14.8432387218751,14.7911456056561,14.8926813763755,15.153229061435,15.0380055060018,14.9755366293454,14.6914600801049,14.6397649437118,14.7300791189214,14.4784849277503,14.7374887117551,14.387278005992,14.9474609679827,14.8154884693975
"5654","Q5VW32;Q5VW32-2",15.4361520152649,15.6278524602047,15.625776659662,15.6212365613905,15.610920704585,15.6156195569537,15.6302016801078,15.6840494401241,15.6249422290503,15.5826596185754,15.7879204922727,15.5921548530391,15.5984336857448,15.5572044414599,15.7538023339944,15.6497337124398
"5655","Q5VW38;Q5VW38-2",15.0921297220285,14.3924415966512,14.286358830241,14.2589713308518,14.2886414195067,14.1550183044976,14.2488740847707,14.3512780512916,14.8453341233545,15.0277214135554,14.8636909235285,15.0940254017217,14.9161005928709,15.012965796614,14.9149257683328,14.2741032022722
"5656","Q5VW38;Q5VW38-2;Q5VW38-3",16.6232345067714,15.8795411850214,15.8833054895869,15.8595590255357,15.7232224500544,15.8151680413649,15.7019246864307,15.7686394886099,16.4055322947217,16.5938226804102,16.2765502092011,16.4233436703475,16.5820174355768,16.3632376952002,16.3261960433088,15.8559055993605
"5657","Q5VWJ9",14.8185142372925,15.1803113607193,15.3158906497668,15.35294379423,15.3129568415433,15.2750809217064,15.3179602711595,15.3820859020331,14.7593630154181,14.6756813784685,14.7079800100527,14.7333221597801,14.6464585570453,15.0449290856059,14.7749850829798,15.1128460295184
"5658","Q5VWN6-2;Q5VWN6",13.0616997814723,13.7298496172855,13.6597454407127,13.5036047828283,13.6477801333501,13.8108174799375,13.7102080765923,13.5536569345532,13.0351327163597,12.9827195092022,13.1304156667812,13.2105930596594,12.9204630471149,12.5783943797607,12.8891776090255,13.6593507310672
"5659","Q5VWQ0",14.7332871299561,14.1616597538889,13.8075404982385,13.9774624796523,14.1452703623355,14.0569371579159,14.1051632313703,13.9582558842835,14.2769676866999,14.4676464050103,14.4933437742355,14.5848326942422,14.4940135294382,14.5408932784363,14.2552043365261,14.2583128718486
"5660","Q5VWQ0;Q5VWQ0-4",15.5407101092307,15.6616017992267,15.6200700516659,15.7452142485801,15.7137619827193,15.8596620991826,15.8609054350484,15.6761550148521,15.5197246935186,15.5598203616859,15.5651831670342,15.6455579743802,15.4503185589089,15.5171359683229,15.4508223005103,15.4944204928659
"5661","Q5VWQ8-2;Q5VWQ8;Q5VWQ8-3;Q5VWQ8-4;Q5VWQ8-5",17.9690468184652,18.1593347421058,18.2207873630334,18.2792124768307,18.1276711795091,18.2307636207776,18.2264146041868,18.1772121098298,18.425867197308,17.503345958923,18.1257684696445,17.5328314134804,18.0652283577153,18.146466587047,18.1941710199822,18.2269680308373
"5662","Q5VWZ2-2;Q5VWZ2",15.5460996054793,15.95963325695,15.6563284175666,15.8372756071423,15.5480357351955,15.6183695256342,15.9873161649607,16.0951149983709,15.6503552696095,15.7866490941991,15.4052702786718,15.4393055509973,16.0456792540702,15.0595160763916,15.6906196291834,16.0713496751856
"5663","Q5VYK3",15.6477748082573,16.0547862776592,16.1445040238744,16.1650800578755,16.1597678129594,16.1945446467887,16.1634670549244,16.1805305245204,15.9106789492726,15.7638675971369,15.9191618680176,15.5415753238723,15.7954042861318,15.7802403746282,15.9591882546896,16.1296344644231
